classification,recordedBy,recordNumber,eventDate,country,stateProvince,city,county,locality,decimalLatitude,decimalLongitude,minimumElevationInMeters,habitat,habit,kingdom,chineseKingdomName,family,chineseFamilyName,genus,chineseGenusName,identificationID,vernacularName,scientificName,identifiedBy
Angiospermae,"董洪进|6571,余姣君",HJD2399,2023-10-30 12:03:00,中国,湖北省,黄冈市,浠水县,绿杨乡三角山林场,30.4897016,115.5353927,64,溪边林缘,,Angiospermae,被子,Rubiaceae,茜草科,Damnacanthus,虎刺属,77553,虎刺,Damnacanthus indicus,董洪进
Angiospermae,"董洪进|6571,余姣君",HJD2398,2023-06-28 17:47:00,中国,湖北省,黄冈市,英山县,吴家山林场主峰,31.0897310,115.7999294,1158,林缘,灌木,Angiospermae,被子,Rosaceae,蔷薇科,Rosa,蔷薇属,520,蔷薇属,Rosa,董洪进
Angiospermae,"董洪进|6571,余姣君",HJD2397,2023-06-28 17:23:00,中国,湖北省,黄冈市,英山县,吴家山林场主峰,31.0895722,115.7999835,1158,路边,草本,Angiospermae,被子,Urticaceae,荨麻科,Boehmeria,苎麻属,1229,苎麻属,Boehmeria,董洪进
Angiospermae,"董洪进|6571,余姣君",HJD2396,2023-06-28 17:21:00,中国,湖北省,黄冈市,英山县,吴家山林场索道上站,31.0895912,115.8000096,1158,路边,藤本,Angiospermae,被子,Vitaceae,葡萄科,Vitis,葡萄属,1361,葡萄属,Vitis,董洪进
Angiospermae,"董洪进|6571,余姣君",HJD2395,2023-06-28 13:21:00,中国,湖北省,黄冈市,英山县,主峰-羊凹,31.0832165,115.7718440,1158,山坡路边,草本,Angiospermae,被子,Compositae,,Sonchus,苦苣菜属,2270,苦苣菜属,Sonchus,董洪进
Angiospermae,"董洪进|6571,余姣君",HJD2394,2023-06-28 12:07:00,中国,湖北省,黄冈市,英山县,主峰-羊凹,31.0931582,115.7699203,1515,山坡路边,灌木,Angiospermae,被子,Rosaceae,蔷薇科,Rubus,悬钩子属,667,悬钩子属,Rubus,董洪进
Angiospermae,"董洪进|6571,余姣君",HJD2393,2023-06-28 09:50:00,中国,湖北省,黄冈市,英山县,吴家山林场索道上站-主峰,31.1066155,115.7747866,1637,路边,乔木,,,,,,,,,千金榆,
Angiospermae,"董洪进|6571,余姣君",HJD2392,2023-06-28 09:35:00,中国,湖北省,黄冈市,英山县,吴家山林场索道上站-主峰,31.1042866,115.7755681,856,路边,乔木,,,,,,,,,绿叶甘橿,
Angiospermae,"董洪进|6571,余姣君",HJD2391,2023-06-20 13:08:00,中国,湖北省,黄冈市,团风县,团风镇鄢家湾江边池塘,30.7334030,114.8132449,18,水边,草本,Angiospermae,被子,Polygonaceae,蓼科,Polygonum,蓼属,12145,愉悦蓼,Polygonum jucundum,董洪进
Angiospermae,"董洪进|6571,余姣君",HJD2390,2023-06-20 12:55:00,中国,湖北省,黄冈市,团风县,团风镇江边鄢家湾池塘,30.7318566,114.8115515,18,水中,草本,Angiospermae,被子,Lentibulariaceae,狸藻科,Utricularia,狸藻属,60803,黄花狸藻,Utricularia aurea,董洪进
Angiospermae,"董洪进|6571,余姣君",HJD2389,2023-06-20 12:35:00,中国,湖北省,黄冈市,团风县,团风镇江边,30.7369725,114.8278251,21,山坡林缘,灌木,Angiospermae,被子,Rhamnaceae,鼠李科,Paliurus,马甲子属,88553,马甲子,Paliurus ramosissimus,董洪进
Angiospermae,"董洪进|6571,余姣君",HJD2388,2023-06-20 12:31:00,中国,湖北省,黄冈市,团风县,团风镇江边,30.7402887,114.8386869,18,山坡林缘,灌木,Angiospermae,被子,Compositae,,Chamaemelum,果香菊属,92923,果香菊,Chamaemelum nobile,董洪进
Angiospermae,"董洪进|6571,余姣君",HJD2387,2023-06-20 10:37:00,中国,湖北省,黄冈市,团风县,淋山河镇五云山,30.7627018,114.9417699,76,山坡林缘,草本,Angiospermae,被子,Poaceae,禾本科,Eriochloa,野黍属,70214,野黍,Eriochloa villosa,董洪进
Angiospermae,"董洪进|6571,余姣君",HJD2386,2023-06-20 10:31:00,中国,湖北省,黄冈市,团风县,淋山河镇五云山,30.7662551,114.9456000,148,山坡林缘,草本,Angiospermae,被子,Asteraceae,菊科,Kalimeris,马兰属,64138,马兰,Kalimeris indica,董洪进
Angiospermae,"董洪进|6571,余姣君",HJD2385,2023-06-20 09:33:00,中国,湖北省,黄冈市,团风县,淋山河镇五云山,30.7710981,114.9172242,144,山坡林缘,灌木,Angiospermae,被子,Rubiaceae,茜草科,Serissa,六月雪属,94517,六月雪,Serissa japonica,董洪进
Angiospermae,"董洪进|6571,余姣君",HJD2384,2023-06-20 09:29:00,中国,湖北省,黄冈市,团风县,淋山河镇五云山,30.7709209,114.9174839,134,山坡林缘,灌木,Angiospermae,被子,Leguminosae,,Campylotropis,杭子梢属,1004,杭子梢属,Campylotropis,董洪进
Angiospermae,"董洪进|6571,余姣君",HJD2383,2023-06-20 09:20:00,中国,湖北省,黄冈市,团风县,淋山河镇五云山,30.7708298,114.9176437,135,山坡林缘,灌木,Angiospermae,被子,Malvaceae,锦葵科,Hibiscus,木槿属,13153,芙蓉葵,Hibiscus moscheutos,董洪进
Angiospermae,"董洪进|6571,余姣君",HJD2382,2023-06-20 09:19:00,中国,湖北省,黄冈市,团风县,淋山河镇五云山,30.7708298,114.9176437,135,山坡林缘,草本,Angiospermae,被子,Lamiaceae,唇形科,Origanum,牛至属,88481,牛至,Origanum vulgare,董洪进
Angiospermae,"董洪进|6571,余姣君",HJD2381,2023-06-16 14:50:00,中国,湖北省,黄冈市,团风县,但店镇白石冲,30.8125917,115.1317272,232,山坡林缘,草本,Angiospermae,被子,Urticaceae,荨麻科,Gonostegia,糯米团属,88746,糯米团,Gonostegia hirta,董洪进
Angiospermae,"董洪进|6571,余姣君",HJD2380,2023-06-16 14:49:00,中国,湖北省,黄冈市,团风县,但店镇白石冲,30.8125917,115.1317272,232,山坡林缘,草本,,,,,,,,,繸瓣珍珠菜,
Angiospermae,"董洪进|6571,余姣君",HJD2379,2023-06-16 14:32:00,中国,湖北省,黄冈市,团风县,但店镇白石冲,30.8094988,115.1341011,182,山坡林缘,灌木,Angiospermae,被子,Phyllanthaceae,,Glochidion,算盘子属,29478,湖北算盘子,Glochidion wilsonii,董洪进
Angiospermae,"董洪进|6571,余姣君",HJD2378,2023-06-16 14:32:00,中国,湖北省,黄冈市,团风县,但店镇白石冲,30.8094988,115.1341011,182,山坡林缘,灌木,Angiospermae,被子,Lamiaceae,唇形科,Premna,豆腐柴属,38903,豆腐柴,Premna microphylla,董洪进
Angiospermae,"董洪进|6571,余姣君",HJD2377,2023-06-16 14:28:00,中国,湖北省,黄冈市,团风县,但店镇白石冲,30.8093739,115.1340911,187,山坡林缘,灌木,,,,,,,,,台湾蝴蝶戏珠花,
Angiospermae,"董洪进|6571,余姣君",HJD2376,2023-06-16 14:10:00,中国,湖北省,黄冈市,团风县,但店镇白石冲,30.8097291,115.1370057,177,山坡林缘,乔木,Angiospermae,被子,Fagaceae,壳斗科,Quercus,栎属,19297,栓皮栎,Quercus variabilis,董洪进
Angiospermae,"董洪进|6571,余姣君",HJD2375,2023-06-16 14:10:00,中国,湖北省,黄冈市,团风县,但店镇白石冲,30.8097740,115.1369456,175,山坡林缘,灌木,Angiospermae,被子,Euphorbiaceae,大戟科,Mallotus,野桐属,26918,白背叶,Mallotus apelta,董洪进
Angiospermae,"董洪进|6571,余姣君",HJD2374,2023-06-16 14:09:00,中国,湖北省,黄冈市,团风县,但店镇白石冲,30.8097740,115.1369456,175,山坡林缘,乔木,Angiospermae,被子,Fagaceae,壳斗科,Lithocarpus,柯属,24435,柯,Lithocarpus glaber,董洪进
Angiospermae,"董洪进|6571,余姣君",HJD2373,2023-06-16 14:00:00,中国,湖北省,黄冈市,团风县,但店镇白石冲,30.8092119,115.1379773,167,山坡林缘,灌木,Angiospermae,被子,Hamamelidaceae,金缕梅科,Loropetalum,继木属,88567,檵木,Loropetalum chinense,董洪进
Angiospermae,"董洪进|6571,余姣君",HJD2372,2023-06-16 13:53:00,中国,湖北省,黄冈市,团风县,但店镇白石冲,30.8092145,115.1390151,160,山坡林缘,灌木,Angiospermae,被子,Cornaceae,山茱萸科,Alangium,八角枫属,44027,八角枫,Alangium chinense,董洪进
Angiospermae,"董洪进|6571,余姣君",HJD2371,2023-06-16 13:26:00,中国,湖北省,黄冈市,团风县,但店镇白石冲,30.8072526,115.1408874,117,山坡林缘,灌木,Angiospermae,被子,Lamiaceae,唇形科,Vitex,牡荆属,48263,黄荆,Vitex negundo,董洪进
Angiospermae,"董洪进|6571,余姣君",HJD2370,2023-06-16 13:24:00,中国,湖北省,黄冈市,团风县,但店镇白石冲,30.8072319,115.1410327,116,山坡林缘,灌木,Angiospermae,被子,Ericaceae,杜鹃花科,Vaccinium,越桔属,32254,南烛,Vaccinium bracteatum,董洪进
Angiospermae,"董洪进|6571,余姣君",HJD2369,2023-06-16 13:07:00,中国,湖北省,黄冈市,团风县,但店镇白石冲,30.8068482,115.1416979,112,山坡路边,乔木,Angiospermae,被子,Cannabaceae,大麻科,Celtis,朴属,65050,珊瑚朴,Celtis julianae,董洪进
Angiospermae,"董洪进|6571,余姣君",HJD2368,2023-06-16 13:03:00,中国,湖北省,黄冈市,团风县,但店镇白石冲,30.8068274,115.1417940,110,山坡路边,藤本,Angiospermae,被子,Menispermaceae,防己科,Stephania,千金藤属,44058,千金藤,Stephania japonica,董洪进
Angiospermae,"董洪进|6571,余姣君",HJD2367,2023-06-16 13:00:00,中国,湖北省,黄冈市,团风县,但店镇白石冲,30.8067834,115.1418041,110,山坡路边,草本,Angiospermae,被子,Phyllanthaceae,,Phyllanthus,叶下珠属,30991,蜜甘草,Phyllanthus ussuriensis,董洪进
Angiospermae,"董洪进|6571,余姣君",HJD2366,2023-06-16 10:22:00,中国,湖北省,黄冈市,罗田县,凤山镇塔山清元禅寺,30.7674788,115.4200651,251,山坡林地,乔木,Angiospermae,被子,Fagaceae,壳斗科,Castanopsis,锥栗属,24925,秀丽锥,Castanopsis jucunda,董洪进
Angiospermae,"董洪进|6571,余姣君",HJD2365,2023-06-01 20:03:00,中国,湖北省,黄冈市,麻城市,福田河镇仙羊岩村,30.4486351,114.9242014,87,石壁,藤本,Angiospermae,被子,Vitaceae,葡萄科,Parthenocissus,爬山虎属,79089,绿叶地锦,Parthenocissus laetevirens,董洪进
Angiospermae,"董洪进|6571,余姣君",HJD2364,2023-05-31 14:46:00,中国,湖北省,黄冈市,麻城市,五脑山林场南门,31.2061136,114.9908578,87,山坡林下,灌木,Angiospermae,被子,Phyllanthaceae,,Glochidion,算盘子属,29538,毛果算盘子,Glochidion eriocarpum,董洪进
Angiospermae,"董洪进|6571,余姣君",HJD2363,2023-05-31 14:40:00,中国,湖北省,黄冈市,麻城市,五脑山林场南门,31.2060770,114.9897330,87,路边,灌木,Angiospermae,被子,Rhamnaceae,鼠李科,Rhamnus,鼠李属,3399,长叶冻绿,Rhamnus crenata,董洪进
Angiospermae,"董洪进|6571,余姣君",HJD2362,2023-05-31 14:38:00,中国,湖北省,黄冈市,麻城市,五脑山林场南门,31.2061641,114.9916638,87,路边,草本,Angiospermae,被子,Convolvulaceae,旋花科,Evolvulus,土丁桂属,68735,土丁桂,Evolvulus alsinoides,董洪进
Angiospermae,"董洪进|6571,余姣君",HJD2361,2023-05-31 14:36:00,中国,湖北省,黄冈市,麻城市,五脑山林场南门,31.2059094,114.9915901,87,路边,灌木,Angiospermae,被子,Leguminosae,,Lespedeza,胡枝子属,22806,兴安胡枝子,Lespedeza davurica|兴安胡枝子,董洪进
Angiospermae,"董洪进|6571,余姣君",HJD2360,2023-05-31 14:27:00,中国,湖北省,黄冈市,麻城市,五脑山林场南门,31.2058935,114.9915901,87,路边,灌木,Angiospermae,被子,Leguminosae,,Dalbergia,黄檀属,57908,黄檀,Dalbergia hupeana,董洪进
Angiospermae,"董洪进|6571,余姣君",HJD2359,2023-05-31 09:38:00,中国,湖北省,黄冈市,麻城市,南湖街道永丰村,31.1159442,115.0556943,43,路边水沟,草本,Angiospermae,被子,Saururaceae,三白草科,Saururus,三白草属,93565,三白草,Saururus chinensis,董洪进
Angiospermae,"董洪进|6571,余姣君",HJD2358,2023-05-24 10:32:00,中国,湖北省,黄冈市,罗田县,天堂寨林场梭草坪-圣卦尖,31.0723668,115.7404776,852,路边,草本,,,,,,,,,薹草属,
Angiospermae,"董洪进|6571,余姣君",HJD2357,2023-05-24 10:29:00,中国,湖北省,黄冈市,罗田县,天堂寨林场梭草坪-圣卦尖,31.0726625,115.7410877,844,路边,草本,Angiospermae,被子,Orchidaceae,兰科,Spiranthes,绶草属,87367,绶草,Spiranthes sinensis,董洪进
Angiospermae,"董洪进|6571,余姣君",HJD2356,2023-05-24 10:22:00,中国,湖北省,黄冈市,罗田县,天堂寨林场梭草坪-圣卦尖,31.0734209,115.7419718,891,路边,草本,Angiospermae,被子,Compositae,,Ixeris,苦荬菜属,30275,苦荬菜,Ixeris polycephala,董洪进
Angiospermae,"董洪进|6571,余姣君",HJD2355,2023-05-24 10:07:00,中国,湖北省,黄冈市,罗田县,天堂寨林场梭草坪-圣卦尖,31.0755936,115.7428339,894,路边,草本,,,,,,,,,过路黄属,
Angiospermae,"董洪进|6571,余姣君",HJD2354,2023-05-24 09:57:00,中国,湖北省,黄冈市,罗田县,天堂寨林场梭草坪-圣卦尖,31.0755556,115.7438382,926,路边,灌木,Angiospermae,被子,Moraceae,桑科,Broussonetia,构树属,89761,楮,Broussonetia kazinoki,董洪进
Angiospermae,"董洪进|6571,余姣君",HJD2353,2023-05-24 09:56:00,中国,湖北省,黄冈市,罗田县,天堂寨林场梭草坪-圣卦尖,31.0755556,115.7438382,926,路边,草质藤本,Angiospermae,被子,Cucurbitaceae,葫芦科,Thladiantha,赤瓟属,68999,南赤瓟,Thladiantha nudiflora,董洪进
Angiospermae,"董洪进|6571,余姣君",HJD2352,2023-05-24 09:51:00,中国,湖北省,黄冈市,罗田县,天堂寨林场梭草坪-圣卦尖,31.0749209,115.7454889,938,路边,藤本,Angiospermae,被子,Araliaceae,五加科,Acanthopanax,五加属,923,五加属,Acanthopanax,董洪进
Angiospermae,"董洪进|6571,余姣君",HJD2351,2023-05-24 09:48:00,中国,湖北省,黄冈市,罗田县,天堂寨林场梭草坪-圣卦尖,31.0742463,115.7461592,937,路边,草本,Angiospermae,被子,Thurniaceae,,Juncus,灯心草属,1277,灯心草属,Juncus,董洪进
Angiospermae,"董洪进|6571,余姣君",HJD2350,2023-05-24 09:36:00,中国,湖北省,黄冈市,罗田县,天堂寨林场梭草坪-圣卦尖,31.0722255,115.7466496,1006,路边,灌木,Angiospermae,被子,Stachyuraceae,旌节花科,Stachyurus,旌节花属,86079,中国旌节花,Stachyurus chinensis,董洪进
Angiospermae,"董洪进|6571,余姣君",HJD2349,2023-05-24 09:01:00,中国,湖北省,黄冈市,罗田县,天堂寨林场梭草坪-圣卦尖,31.0683119,115.7415582,916,路边,藤本,Angiospermae,被子,Caprifoliaceae,忍冬科,Lonicera,忍冬属,17424,忍冬,Lonicera japonica,董洪进
Angiospermae,"董洪进|6571,余姣君",HJD2348,2023-05-24 08:50:00,中国,湖北省,黄冈市,罗田县,天堂寨林场梭草坪-圣卦尖,31.0680874,115.7391478,886,路边,灌木,Angiospermae,被子,Betulaceae,桦木科,Carpinus,鹅耳枥属,479,鹅耳枥,Carpinus turczaninowii,董洪进
Angiospermae,"董洪进|6571,余姣君",HJD2347,2023-05-23 18:09:00,中国,湖北省,黄冈市,英山县,吴家山林场东方坳,31.1114342,115.8500740,950,路边,乔木,Angiospermae,被子,Ebenaceae,柿树科,Diospyros,柿树属,45528,君迁子,Diospyros lotus,董洪进
Angiospermae,"董洪进|6571,余姣君,张家亮",HJD2346,2023-05-23 13:57:00,中国,湖北省,黄冈市,英山县,石头咀镇栗树咀村,31.1114342,115.8500740,450,村边土坡,藤本,Angiospermae,被子,Vitaceae,葡萄科,Ampelopsis,蛇葡萄属,44725,白蔹,Ampelopsis japonica,董洪进
Angiospermae,"董洪进|6571,余姣君,张家亮",HJD2345,2023-05-23 13:39:00,中国,湖北省,黄冈市,英山县,吴家山林场东方坳-栗树咀,31.1117054,115.8465959,567,崖边,灌木,Angiospermae,被子,Lamiaceae,唇形科,Premna,豆腐柴属,38903,豆腐柴,Premna microphylla,董洪进
Angiospermae,"董洪进|6571,余姣君,张家亮",HJD2344,2023-05-23 13:29:00,中国,湖北省,黄冈市,英山县,吴家山林场东方坳-栗树咀,31.1089706,115.8573904,720,崖边,乔木,Angiospermae,被子,Anacardiaceae,漆树科,Toxicodendron,漆属,40506,野漆,Toxicodendron succedaneum,董洪进
Angiospermae,"董洪进|6571,余姣君,张家亮",HJD2343,2023-05-23 13:26:00,中国,湖北省,黄冈市,英山县,吴家山林场东方坳-栗树咀,31.1134777,115.8606767,720,崖边,灌木,Angiospermae,被子,Rosaceae,蔷薇科,Photinia,石楠属,36173,中华石楠,Photinia beauverdiana,董洪进
Angiospermae,"董洪进|6571,余姣君,张家亮",HJD2342,2023-05-23 13:02:00,中国,湖北省,黄冈市,英山县,吴家山林场东方坳-栗树咀,31.1155697,115.8427061,720,溪边,草本,Angiospermae,被子,Araceae,天南星科,Arisaema,天南星属,31456,天南星,Arisaema heterophyllum,董洪进
Angiospermae,"董洪进|6571,余姣君,张家亮",HJD2341,2023-05-23 12:56:00,中国,湖北省,黄冈市,英山县,吴家山林场东方坳-栗树咀,31.1161444,115.8421146,726,溪边,灌木,Angiospermae,被子,Hydrangeaceae,,Hydrangea,绣球属,63614,中国绣球,Hydrangea chinensis,董洪进
Angiospermae,"董洪进|6571,余姣君,张家亮",HJD2340,2023-05-23 12:43:00,中国,湖北省,黄冈市,英山县,吴家山林场东方坳-栗树咀,31.1169511,115.8410720,757,溪边,灌木,Angiospermae,被子,Symplocaceae,山矾科,Styrax,安息香属,721,安息香属,Styrax,董洪进
Angiospermae,"董洪进|6571,余姣君,张家亮",HJD2339,2023-05-23 12:40:00,中国,湖北省,黄冈市,英山县,吴家山林场东方坳-栗树咀,31.1170851,115.8411121,778,溪边,灌木,,,,,,,,,棱果米面蓊,
Angiospermae,"董洪进|6571,余姣君,张家亮",HJD2338,2023-05-23 12:37:00,中国,湖北省,黄冈市,英山县,吴家山林场东方坳-栗树咀,31.1176761,115.8412774,795,溪边,草本,Angiospermae,被子,Primulaceae,报春花科,Lysimachia,珍珠菜属,8702,轮叶过路黄,Lysimachia klattiana,董洪进
Angiospermae,"董洪进|6571,余姣君,张家亮",HJD2337,2023-05-23 12:03:00,中国,湖北省,黄冈市,英山县,吴家山林场东方坳-栗树咀,31.1207513,115.8395028,881,溪边,草本,Angiospermae,被子,Poaceae,禾本科,Elymus,披碱草属,659,披碱草属,Elymus,董洪进
Angiospermae,"董洪进|6571,余姣君,张家亮",HJD2336,2023-05-23 11:54:00,中国,湖北省,黄冈市,英山县,吴家山林场东方坳-栗树咀,31.1227081,115.8388760,884,溪边,灌木,Angiospermae,被子,Smilacaceae,,Smilax,菝葜属,14047,三脉菝葜,Smilax trinervula,董洪进
Angiospermae,"董洪进|6571,余姣君,张家亮",HJD2335,2023-05-23 11:07:00,中国,湖北省,黄冈市,英山县,吴家山林场东方坳,31.1240552,115.8354713,955,溪边,灌木,Angiospermae,被子,Rosaceae,蔷薇科,Rosa,蔷薇属,520,蔷薇属,Rosa,董洪进
Angiospermae,"董洪进|6571,余姣君,张家亮",HJD2334,2023-05-23 11:01:00,中国,湖北省,黄冈市,英山县,吴家山林场东方坳,31.1228110,115.8344387,961,路边,灌木,Angiospermae,被子,Ericaceae,杜鹃花科,Rhododendron,杜鹃花属,10203,羊踯躅,Rhododendron molle,董洪进
Angiospermae,"董洪进|6571,余姣君,张家亮",HJD2333,2023-05-23 09:53:00,中国,湖北省,黄冈市,英山县,吴家山林场东方坳,31.1224383,115.8290468,1017,溪谷,草本,Angiospermae,被子,Orchidaceae,兰科,Galeola,山珊瑚兰属,85875,毛萼山珊瑚,Galeola lindleyana,董洪进
Angiospermae,"董洪进|6571,余姣君,张家亮",HJD2332,2023-05-23 09:47:00,中国,湖北省,黄冈市,英山县,吴家山林场东方坳,31.1222945,115.8291611,1017,溪谷,草本,Angiospermae,被子,Melanthiaceae,,Veratrum,藜芦属,65560,藜芦,Veratrum nigrum,董洪进
Angiospermae,"董洪进|6571,余姣君,张家亮",HJD2331,2023-05-23 09:15:00,中国,湖北省,黄冈市,英山县,吴家山林场东方坳,31.1188749,115.8278280,913,山坡林缘,乔木,,,,,,,,,梾木属,
Angiospermae,"董洪进|6571,余姣君,张家亮",HJD2330,2023-05-23 09:10:00,中国,湖北省,黄冈市,英山县,吴家山林场东方坳,31.1189232,115.8269156,933,山坡林缘,乔木,Angiospermae,被子,Symplocaceae,山矾科,Styrax,安息香属,721,安息香属,Styrax,董洪进
Angiospermae,"董洪进|6571,余姣君,张家亮",HJD2329,2023-05-23 08:53:00,中国,湖北省,黄冈市,英山县,吴家山林场东方坳,31.1194778,115.8226143,897,山坡林缘,乔木,Angiospermae,被子,Euphorbiaceae,大戟科,Mallotus,野桐属,26971,野桐,Mallotus tenuifolius,董洪进
Angiospermae,"董洪进|6571,余姣君,张家亮",HJD2328,2023-05-22 12:40:00,中国,湖北省,黄冈市,英山县,吴家山林场主峰-中线,31.1013261,115.7844946,1174,山坡林缘,草本,Angiospermae,被子,Lamiaceae,唇形科,Salvia,鼠尾草属,21562,白马鼠尾草,Salvia baimaensis,董洪进
Angiospermae,"董洪进|6571,余姣君,张家亮",HJD2327,2023-05-22 11:04:00,中国,湖北省,黄冈市,英山县,吴家山林场主峰-中线,31.1037066,115.7733846,1558,山坡林缘,乔木,Angiospermae,被子,Oleaceae,木犀科,Fraxinus,梣属,50511,尖萼梣,Fraxinus odontocalyx,董洪进
Angiospermae,"董洪进|6571,余姣君,张家亮",HJD2326,2023-05-22 10:43:00,中国,湖北省,黄冈市,英山县,吴家山林场主峰-中线,31.1075328,115.7764653,1610,山坡林缘,灌木,Angiospermae,被子,Elaeagnaceae,胡颓子科,Elaeagnus,胡颓子属,1281,胡颓子属,Elaeagnus,董洪进
Angiospermae,"董洪进|6571,余姣君,张家亮",HJD2325,2023-05-22 10:37:00,中国,湖北省,黄冈市,英山县,吴家山林场挂天瀑-主峰,31.1077097,115.7764894,1622,山脊,草本,Angiospermae,被子,Lamiaceae,唇形科,Salvia,鼠尾草属,21649,鼠尾草,Salvia japonica,董洪进
Angiospermae,"董洪进|6571,余姣君,张家亮",HJD2324,2023-05-22 10:33:00,中国,湖北省,黄冈市,英山县,吴家山林场挂天瀑-主峰,31.1081048,115.7767297,1556,山脊,乔木,Angiospermae,被子,Rosaceae,蔷薇科,Sorbus,花楸属,47647,水榆花楸,Sorbus alnifolia,董洪进
Angiospermae,"董洪进|6571,余姣君,张家亮",HJD2323,2023-05-22 10:29:00,中国,湖北省,黄冈市,英山县,吴家山林场挂天瀑-主峰,31.1157345,115.7646712,1535,山脊,乔木,Angiospermae,被子,Malvaceae,锦葵科,Tilia,椴树属,1776,椴树属,Tilia,董洪进
Angiospermae,"董洪进|6571,余姣君,张家亮",HJD2322,2023-05-22 10:21:00,中国,湖北省,黄冈市,英山县,吴家山林场挂天瀑-主峰,31.1080755,115.7782383,1535,山坡林下,草本,Angiospermae,被子,Orchidaceae,兰科,Cephalanthera,头蕊兰属,81076,银兰,Cephalanthera erecta,董洪进
Angiospermae,"董洪进|6571,余姣君,张家亮",HJD2321,2023-05-22 10:18:00,中国,湖北省,黄冈市,英山县,吴家山林场挂天瀑-主峰,31.1079661,115.7786280,1530,山坡林下,灌木,Angiospermae,被子,Celastraceae,卫矛科,Euonymus,卫矛属,19967,卫矛,Euonymus alatus,董洪进
Angiospermae,"董洪进|6571,余姣君,张家亮",HJD2320,2023-05-22 10:12:00,中国,湖北省,黄冈市,英山县,吴家山林场挂天瀑-主峰,31.1078066,115.7790338,1500,山坡林下,灌木,Angiospermae,被子,Rosaceae,蔷薇科,Spiraea,绣线菊属,6502,绣线菊,Spiraea salicifolia,董洪进
Angiospermae,"董洪进|6571,余姣君,张家亮",HJD2319,2023-05-22 09:59:00,中国,湖北省,黄冈市,英山县,吴家山林场挂天瀑-主峰,31.1522962,116.0351038,1438,山坡林下,乔木,Angiospermae,被子,Styracaceae,安息香科,Styrax,安息香属,27898,玉铃花,Styrax obassis,董洪进
